Name,Season,Pitch,Pitches,LD%,GB%,FB%,IFFB%,HR/FB,Strikes,Balls,Pitches,xMov,zMov,Mov,NameASCII,PlayerId,MLBAMID
"Sergio Alcántara",2025,"FA,FC,CH,SL,CU",7,0,0,0,0,0,6,1,7,-1.9218914285714281,2.6793085714285714,7.865272857142857,"Sergio Alcantara","16417",642727
"C.J. Stubbs",2025,"FA,SI,SL",9,0,0.5,0.5,0,0,6,3,9,1.92192,3.256254,8.1092,"C.J. Stubbs","25814",667690
"Luken Baker",2025,"FA,FC,SI,SL,KC",24,0,0.3333333333333333,0.6666666666666666,0.25,0,17,7,24,0.9365499291666667,2.3615794166666664,8.7329875,"Luken Baker","21497",663609
"Billy Cook",2025,"FA,SL",5,0,1,0,0,0,5,0,5,3.336996,3.7638232,7.13681,"Billy Cook","29573",695257
"Colin Rea",2025,"FA",5,0,0,0,0,0,5,0,5,-7.802042,5.912762000000001,10.297604000000002,"Colin Rea","12317",607067
"Coco Montes",2025,"FC,CU",4,0,1,0,0,0,4,0,4,3.3664605,-1.1954799999999997,5.214754999999999,"Coco Montes","21547",663796
"Greg Jones",2025,"FA,FC,CU",9,0,0,0,0,0,7,2,9,-0.746664444444444,4.16785,8.62384888888889,"Greg Jones","25448",675659
"Harry Ford",2025,"FA,FC,SI,SL",13,0,1,0,0,0,7,6,13,-4.1654392307692305,5.935708153846154,8.523099230769231,"Harry Ford","29958",695670
"Chadwick Tromp",2025,"FA,FC,FS,SI,CH,SL,KC",46,0.1,0.4,0.5,0.4,0.2,31,15,46,-1.7173558391304353,4.929794652173913,8.683130869565217,"Chadwick Tromp","16953",644433
"Brett Sullivan",2025,"FA,FS,CH,SL,CU",36,0,0.25,0.75,0,0,25,11,36,-2.3099523611111112,4.343729833333334,8.70195472222222,"Brett Sullivan","18217",664954
"Jonathan Ornelas",2025,"FA,FC,SL,CU",30,0,0.75,0.25,1,0,21,9,30,2.7141163666666666,3.1557088999999996,6.9297656666666665,"Jonathan Ornelas","24597",680716
"Vimael Machín",2025,"FA,FC,CH,SL,KC",32,0.375,0.5,0.125,0,1,22,10,32,-2.951365,5.4993131250000005,9.556350625,"Vimael Machin","17684",605353
"Esteury Ruiz",2025,"FA,SI,CH,SL",22,0,0.6666666666666666,0.3333333333333333,0,0,14,8,22,-2.148021363636364,2.3990287681818185,8.982311363636363,"Esteury Ruiz","21780",665923
"Akil Baddoo",2025,"FA,FC,FS,SI,CH,SL,CU",51,0.4,0.5,0.1,0,0,37,14,51,-1.0744640784313726,3.18763837254902,9.558454313725488,"Akil Baddoo","22168",668731
"Kevin Pillar",2025,"FA,FC,SI,CH,SL,CU",37,0,0.5714285714285714,0.42857142857142855,0,0,25,12,37,-1.0940677297297299,3.3434820270270267,8.007207837837838,"Kevin Pillar","12434",607680
"Nicky Lopez",2025,"FA,FC,FS,SI,CH,SL,CU,KC",99,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.5,0,60,39,99,-3.179536111111111,3.7581584646464643,8.683415555555555,"Nicky Lopez","19339",670032
"Will Banfield",2025,"FA,SI,CH,SL,CU,KC",40,0,0,1,0,0,29,11,40,-1.5362069774999998,2.5463926999999993,7.350595,"Will Banfield","23790",677943
"Jose Siri",2025,"FA,FC,FS,SI,CH,SL,CU,KC",95,0.07692307692307693,0.23076923076923078,0.6923076923076923,0.1111111111111111,0,60,35,95,-0.7490570421052634,3.1470825789473684,8.237840842105262,"Jose Siri","17452",642350
"Connor Kaiser",2025,"FA,FC,SI,CH,SL,CU",52,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.4,0,33,19,52,-3.0002662173076926,4.569424601923077,8.3348125,"Connor Kaiser","21535",663731
"Eddie Rosario",2025,"FA,FC,FS,CH,SL,CU",23,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,17,6,23,-2.0443077391304345,3.891699582608695,7.546074782608696,"Eddie Rosario","12155",592696
"Tyler Callihan",2025,"FA,FS,CH,SL,CU",22,0.2,0.6,0.2,0,0,13,9,22,-2.868982772727273,3.8019754545454543,8.530903181818182,"Tyler Callihan","27497",682997
"Sandy León",2025,"FA,FS,SI,CH,SL,CU,KC",30,0,0.2,0.8,0,0.25,21,9,30,-3.2983651999999997,3.5121735666666667,9.267739666666667,"Sandy Leon","5273",506702
"Tirso Ornelas",2025,"FA,FS,SI,CH,SL,KC",62,0.08333333333333333,0.4166666666666667,0.5,0.3333333333333333,0,41,21,62,-3.334661640967741,4.18753680483871,9.510606129032258,"Tirso Ornelas","22566",672359
"Donovan Walton",2025,"FA,FS,SI,CH,SL,CU",24,0.2,0.8,0,0,0,15,9,24,-2.0870975125,4.572579541666667,8.990747083333334,"Donovan Walton","19314",622268
"Jihwan Bae",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC",87,0,0.5,0.5,0.2,0,47,40,87,-3.253780540229885,5.563548793103449,8.506580229885056,"Jihwan Bae","23818",678225
"Trey Lipscomb",2025,"FA,FS,SI,SL",13,0,1,0,0,0,7,6,13,-4.952211615384616,2.622378461538461,6.341663153846154,"Trey Lipscomb","31567",702358
"Will Brennan",2025,"FA,FC,FS,SI,CH,SL,CU,KC",46,0,0.6,0.4,0.5,0,26,20,46,-3.231312152173912,3.508366282608695,8.58155695652174,"Will Brennan","25660",686823
"Jon Singleton",2025,"FA,FC,SI,CH,SL",20,0,0.6666666666666666,0.3333333333333333,0,0,14,6,20,0.36036775,2.9801501000000004,7.509161999999999,"Jon Singleton","10441",572138
"Jack Winkler",2025,"FA,FC,SI,SL",18,0,1,0,0,0,11,7,18,-4.159511111111112,7.053867555555556,9.562967777777779,"Jack Winkler","29830",676466
"Scott Kingery",2025,"FA,FC,FS,SI,SL,CU",64,0,0.75,0.25,0.5,0,43,21,64,-0.878174625,3.523770328125,7.259479531250001,"Scott Kingery","17975",664068
"J.D. Davis",2025,"FA,SI,CH,SL,CU",33,0.2,0.6,0.2,1,0,26,7,33,-1.5091381212121213,3.4625218484848483,8.406399242424243,"J.D. Davis","16219",605204
"Jacob Hurtubise",2025,"FA,FC,SI,CH,SL,CU",59,0.2,0.6,0.2,0,0,37,22,59,-1.7576041033898309,1.5795080508474575,7.799924915254236,"Jacob Hurtubise","27599",674441
"Yuli Gurriel",2025,"FA,FC,SI,CH,SL,CU",52,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.6666666666666666,0,34,18,52,-1.1344661346153846,4.877962884615385,8.548220769230769,"Yuli Gurriel","19198",493329
"Logan Porter",2025,"FA,FC,SI,SL",34,0,0.6,0.4,0.5,0,18,16,34,-0.9104056176470585,2.760910970588235,6.6026035294117635,"Logan Porter","20626",682515
"César Prieto",2025,"FA,FC,FS,SI,SL,CU",25,0,1,0,0,0,19,6,25,-3.2379200800000003,3.78408452,7.9959844,"Cesar Prieto","30163",693409
"Ryne Nelson",2025,"FA,SL",4,0,1,0,0,0,2,2,4,-4.54974,8.378419999999998,9.9600875,"Ryne Nelson","26253",669194
"Ryan Vilade",2025,"FA,FC,SI,SL",13,0.3333333333333333,0.6666666666666666,0,0,0,10,3,13,-1.0377586153846157,3.569545,7.059585538461538,"Ryan Vilade","22165",668723
