Pitchers,Opp: 7/19,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_IP*,Season (total)_SV,Season (total)_K,Season (total)_ERA,Season (total)_WHIP,Season (total)_QS,
"DJ HerzIL60No new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,709,2185,0%,-,-,-,-,-,-,
"Scott McGoughNANo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,-,1303,2186,0%,-,-,-,-,-,-,
"Bradley BlalockNANo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,-,1581,2187,0%,-,-,-,-,-,-,
"Zack ShowalterNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,788,2188,0%,-,-,-,-,-,-,
"Scott AlexanderNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,-,1283,2189,0%,-,-,-,-,-,-,
"Zach PenrodNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,1142,2190,0%,-,-,-,-,-,-,
"Jorge LópezNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,649,2191,0%,-,-,-,-,-,-,
"Kenta MaedaNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,1304,2192,0%,-,-,-,-,-,-,
"Trevor WilliamsIL60Player Note WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,1475,2193,0%,-,-,-,-,-,-,
"Joe MusgroveIL60No new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,693,2194,14%,-,-,-,-,-,-,
"Yoniel CuretNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,857,2195,0%,-,-,-,-,-,-,
"Derek LawNA7No new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,-,661,2196,0%,-,-,-,-,-,-,
"Tyler OwensNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,1169,2197,0%,-,-,-,-,-,-,
"Luis De LeónNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,-,1108,2198,0%,-,-,-,-,-,-,
"Juan NuñezNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,-,1127,2199,0%,-,-,-,-,-,-,
"Alex PhamNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,-,1005,2200,0%,-,-,-,-,-,-,
"Angel BastardoNANo new player Notes BOS - P W, 6-1 vs TB",TB,FA,-,1083,2201,0%,-,-,-,-,-,-,
"Yordanny MonegroNANo new player Notes BOS - P W, 6-1 vs TB",TB,FA,-,1022,2202,0%,-,-,-,-,-,-,
"Chad GreenNANo new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,-,1230,2203,0%,-,-,-,-,-,-,
"Mike ClevingerNANo new player Notes PIT - P W, 7-1 @ CLE",@ CLE,FA,-,1257,2204,0%,-,-,-,-,-,-,
"Julian AguiarNANo new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,-,1163,2205,0%,-,-,-,-,-,-,
"Adam SerwinowskiNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,1089,2206,0%,-,-,-,-,-,-,
"Jackson HumphriesNANo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,-,1062,2207,0%,-,-,-,-,-,-,
"Jordy VargasNANo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,-,835,2208,0%,-,-,-,-,-,-,
"Chris StrattonNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,1405,2209,0%,-,-,-,-,-,-,
"Trey DombroskiNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,-,1118,2210,0%,-,-,-,-,-,-,
"Jose FleuryNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,-,883,2211,0%,-,-,-,-,-,-,
"River RyanNA7No new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",Stealth Bomber,-,708,2212,9%,-,-,-,-,-,-,
"Payton MartinNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,1039,2213,0%,-,-,-,-,-,-,
"Hyun-Seok JangNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,839,2214,0%,-,-,-,-,-,-,
"José LeclercNA60No new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,1221,2215,0%,-,-,-,-,-,-,
"Cory LewisNANo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,-,1052,2216,0%,-,-,-,-,-,-,
"C.J. CulpepperNANo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,-,742,2217,0%,-,-,-,-,-,-,
"Henry LalaneNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,1030,2218,0%,-,-,-,-,-,-,
"Zach MessingerNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,1051,2219,0%,-,-,-,-,-,-,
"Carlos LagrangeNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,1130,2220,5%,-,-,-,-,-,-,
"Wen Hui PanNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,-,876,2221,0%,-,-,-,-,-,-,
"Rob ZastryznyIL60Player Note MIL - P W, 3-1 vs MIA",MIA,FA,-,603,2222,0%,-,-,-,-,-,-,
"Isaiah LoweNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,904,2223,0%,-,-,-,-,-,-,
"Hayden BirdsongIL60No new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,-,1279,2224,0%,-,-,-,-,-,-,
"Jeter MartinezNANo new player Notes PIT - P W, 7-1 @ CLE",@ CLE,FA,-,947,2225,0%,-,-,-,-,-,-,
"Jimmy JoyceNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,-,1081,2226,0%,-,-,-,-,-,-,
"Aidan CurryNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,932,2227,0%,-,-,-,-,-,-,
"Michael KopechNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,678,2228,0%,-,-,-,-,-,-,
"Joey WentzIL60No new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,1479,2229,0%,-,-,-,-,-,-,
"Austin KrobNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,741,2230,0%,-,-,-,-,-,-,
"Jayvien SandridgeNA7No new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,-,1192,2231,0%,-,-,-,-,-,-,
"Joe JiménezIL60No new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,666,2232,0%,-,-,-,-,-,-,
"Scott BlewettPlayer Note STL - P Bot 4, 5-0 @ AZ",@ AZ,W (Jul 20),-,1256,2233,0%,-,-,-,-,-,-,
"A.J. PukIL60Player Note AZ - P Bot 4, 0-5 vs STL",STL,FA,-,625,2234,1%,-,-,-,-,-,-,
"Hayden HarrisNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,1168,2235,0%,-,-,-,-,-,-,
"Christian Zazueta Jr.NANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,1056,2236,0%,-,-,-,-,-,-,
"Joel HurtadoNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,867,2237,0%,-,-,-,-,-,-,
"Humberto CruzNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,923,2238,0%,-,-,-,-,-,-,
"Sauryn LaoNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,1165,2239,0%,-,-,-,-,-,-,
"Jordan MontgomeryIL60Player Note TEX - P L, 5-8 @ ATL",@ ATL,No Longer Rowdy,-,1229,2240,1%,-,-,-,-,-,-,
"Mason AdamsNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,-,1039,2241,0%,-,-,-,-,-,-,
"Cole PaplhamNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,814,2242,0%,-,-,-,-,-,-,
"Alex CookNANo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,-,892,2243,0%,-,-,-,-,-,-,
"Braden NettNANo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,-,981,2244,0%,-,-,-,-,-,-,
"Logan EvansIL60No new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,-,1205,2245,0%,-,-,-,-,-,-,
"Chris FlexenNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,-,616,2246,0%,-,-,-,-,-,-,
"Harrison CohenNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,1064,2247,0%,-,-,-,-,-,-,
"Brett WichrowskiNANo new player Notes MIL - P W, 3-1 vs MIA",MIA,FA,-,1072,2248,0%,-,-,-,-,-,-,
"Tanner HouckIL60Player Note BOS - P W, 6-1 vs TB",TB,FA,-,1473,2249,0%,-,-,-,-,-,-,
"Jack ChoateNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,-,1100,2250,0%,-,-,-,-,-,-,
"Joseph MontalvoNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,733,2251,0%,-,-,-,-,-,-,
"Tyson GuerreroNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,-,761,2252,0%,-,-,-,-,-,-,
"Landon SimsNANo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,-,1029,2253,0%,-,-,-,-,-,-,
"Corbin BurnesIL60Player Note AZ - P Bot 4, 0-5 vs STL",STL,Cash is King,-,526,2254,17%,-,-,-,-,-,-,
"Adam MaierNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,-,753,2255,0%,-,-,-,-,-,-,
"Clarke SchmidtIL60Player Note NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,535,2256,2%,-,-,-,-,-,-,
"Blake BurkhalterNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,872,2257,0%,-,-,-,-,-,-,
"Luis PeralesNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,944,2258,0%,-,-,-,-,-,-,
"Jackson FerrisNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,1065,2259,0%,-,-,-,-,-,-,
"Nestor CortesNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,1310,2260,0%,-,-,-,-,-,-,
"Porter HodgeIL60No new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,-,1223,2261,0%,-,-,-,-,-,-,
"Nazier MuléNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,-,805,2262,0%,-,-,-,-,-,-,
"Cade WinquestNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,909,2263,0%,-,-,-,-,-,-,
"Drew GrayNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,-,927,2264,0%,-,-,-,-,-,-,
"Tanner RaineyNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,1324,2265,0%,-,-,-,-,-,-,
"Jackson CoxNANo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,-,922,2266,0%,-,-,-,-,-,-,
"Austin GomberNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,1543,2267,0%,-,-,-,-,-,-,
"Cristian MenaIL60No new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,-,646,2268,0%,-,-,-,-,-,-,
"Michael KnorrNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,-,990,2269,0%,-,-,-,-,-,-,
"Jared KarrosNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,954,2270,0%,-,-,-,-,-,-,
"Drew SmithNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,721,2271,0%,-,-,-,-,-,-,
"Pablo LópezIL60No new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,-,505,2272,6%,-,-,-,-,-,-,
"Chandler ChamplainNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,979,2273,0%,-,-,-,-,-,-,
"Caden DanaNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,1356,2274,0%,-,-,-,-,-,-,
"Ben JoyceIL60Player Note LAA - P Top 5, 1-1 vs DET",DET,FA,-,695,2275,3%,-,-,-,-,-,-,
"Hagen SmithNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,-,992,2276,2%,-,-,-,-,-,-,
"Ryan CosteiuNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,915,2277,0%,-,-,-,-,-,-,
"Cam CaminitiNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,1036,2278,1%,-,-,-,-,-,-,
"Gavin StoneIL60No new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,667,2279,0%,-,-,-,-,-,-,
"Ryan SloanNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,-,1005,2280,3%,-,-,-,-,-,-,
"Nick NastriniNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,1198,2281,0%,-,-,-,-,-,-,
"Ronan KoppNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,908,2282,0%,-,-,-,-,-,-,
"Nick FrassoNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,763,2283,0%,-,-,-,-,-,-,
"Kash MayfieldNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,855,2284,0%,-,-,-,-,-,-,
"Brody BrechtNANo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,-,1077,2285,0%,-,-,-,-,-,-,
"Peter HeubeckNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,816,2286,0%,-,-,-,-,-,-,
"Jonathan SantucciNANo new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,-,783,2287,0%,-,-,-,-,-,-,
"Bryce CunninghamNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,1013,2288,0%,-,-,-,-,-,-,
"Joey OakieNANo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,-,1132,2289,0%,-,-,-,-,-,-,
"David ShieldsNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,-,860,2290,0%,-,-,-,-,-,-,
"Braylon DoughtyNANo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,-,1004,2291,0%,-,-,-,-,-,-,
"Jurrangelo CijntjeNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,914,2292,1%,-,-,-,-,-,-,
"Ben HessNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,796,2293,0%,-,-,-,-,-,-,
"Boston BatemanNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,-,1096,2294,0%,-,-,-,-,-,-,
"Dasan HillNANo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,-,808,2295,0%,-,-,-,-,-,-,
"Levi SterlingNANo new player Notes PIT - P W, 7-1 @ CLE",@ CLE,FA,-,1099,2296,0%,-,-,-,-,-,-,
"Carter HoltonNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,812,2297,0%,-,-,-,-,-,-,
"Brusdar GraterolIL60No new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,719,2298,0%,-,-,-,-,-,-,
"Josh HartleNANo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,-,1021,2299,0%,-,-,-,-,-,-,
"David FestaIL60No new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,-,1225,2300,0%,-,-,-,-,-,-,
"Luke HolmanNANo new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,-,1082,2301,0%,-,-,-,-,-,-,
"Drew BeamNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,-,734,2302,0%,-,-,-,-,-,-,
"Tristan SmithNANo new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,-,1068,2303,0%,-,-,-,-,-,-,
"Owen HallNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,795,2304,0%,-,-,-,-,-,-,
"Mike VasilIL60No new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,-,531,2305,0%,-,-,-,-,-,-,
"Tyson NeighborsNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,-,798,2306,0%,-,-,-,-,-,-,
"Chase MobleyNANo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,-,912,2307,0%,-,-,-,-,-,-,
"Ryan ForcucciNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,-,778,2308,0%,-,-,-,-,-,-,
"Drew ThorpeIL60New Player Note CWS - P W, 3-0 @ TOR",@ TOR,FA,-,1156,2309,0%,-,-,-,-,-,-,
"Chris CortezNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,790,2310,0%,-,-,-,-,-,-,
"Trystan VrielingNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,-,935,2311,0%,-,-,-,-,-,-,
"Gage ZiehlNANo new player Notes BOS - P W, 6-1 vs TB",TB,FA,-,994,2312,0%,-,-,-,-,-,-,
"Matt AgerNANo new player Notes PIT - P W, 7-1 @ CLE",@ CLE,FA,-,1100,2313,0%,-,-,-,-,-,-,
"Bryce MeccageNANo new player Notes MIL - P W, 3-1 vs MIA",MIA,FA,-,1070,2314,0%,-,-,-,-,-,-,
"Juan CarelaNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,-,765,2315,0%,-,-,-,-,-,-,
"Richard FittsNA60No new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,1213,2316,0%,-,-,-,-,-,-,
"Cameron SullivanNANo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,-,859,2317,0%,-,-,-,-,-,-,
"Conrad CasonNANo new player Notes BOS - P W, 6-1 vs TB",TB,FA,-,1092,2318,0%,-,-,-,-,-,-,
"Blake LarsonNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,-,923,2319,0%,-,-,-,-,-,-,
"Thatcher HurdNANo new player Notes NYY - P L, 2-8; 7:20 pm","LAD,LAD",FA,-,786,2320,0%,-,-,-,-,-,-,
"Connor FoleyNANo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,-,1053,2321,0%,-,-,-,-,-,-,
"John MeansNA60No new player Notes KC - P L, 2-19 vs SD",SD,FA,-,703,2322,0%,-,-,-,-,-,-,
"Alex McFarlaneNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,-,745,2323,0%,-,-,-,-,-,-,
"Aiden MayNANo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,-,1042,2324,0%,-,-,-,-,-,-,
"Ethan SchiefelbeinNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,769,2325,0%,-,-,-,-,-,-,
"Micah OttenbreitNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,-,752,2326,0%,-,-,-,-,-,-,
"Daniel EagenNANo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,-,1114,2327,0%,-,-,-,-,-,-,
"Jean CabreraNAPlayer Note PHI - P L, 1-6 vs NYM",NYM,FA,-,972,2328,0%,-,-,-,-,-,-,
"Thomas HarringtonNAPlayer Note PIT - P W, 7-1 @ CLE",@ CLE,FA,-,1405,2329,0%,-,-,-,-,-,-,
"Michael KennedyNANo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,-,896,2330,0%,-,-,-,-,-,-,
"Travis SmithNANo new player Notes MIL - P W, 3-1 vs MIA",MIA,FA,-,937,2331,0%,-,-,-,-,-,-,
"Johnny KingNANo new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,-,878,2332,0%,-,-,-,-,-,-,
"Dylan LeskoNANo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,-,768,2333,0%,-,-,-,-,-,-,
"Jackson KentNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,1095,2334,0%,-,-,-,-,-,-,
"Adam MazurIL60No new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,-,1326,2335,0%,-,-,-,-,-,-,
"Jairo IriarteNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,-,1140,2336,0%,-,-,-,-,-,-,
"Grant ShepardsonNANo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,-,1080,2337,0%,-,-,-,-,-,-,
"Garrett HawkinsNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,789,2338,0%,-,-,-,-,-,-,
"Josh RandallNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,959,2339,0%,-,-,-,-,-,-,
"Justin SteeleIL60No new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,-,608,2340,5%,-,-,-,-,-,-,
"Jakob WrightNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,877,2341,0%,-,-,-,-,-,-,
"Ryan BergertNA60No new player Notes KC - P L, 2-19 vs SD",SD,FA,-,659,2342,0%,-,-,-,-,-,-,
"Jagger HaynesNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,938,2343,0%,-,-,-,-,-,-,
"Taylor DollardNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,-,773,2344,0%,-,-,-,-,-,-,
"Eric SilvaNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,906,2345,0%,-,-,-,-,-,-,
"Khal StephenNANo new player Notes CLE - P L, 1-7 vs PIT",PIT,FA,-,879,2346,0%,-,-,-,-,-,-,
"Erik SwansonNANo new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,-,1281,2347,0%,-,-,-,-,-,-,
"Génesis CabreraNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,-,1415,2348,0%,-,-,-,-,-,-,
"Cooper HjerpeNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,799,2349,0%,-,-,-,-,-,-,
"Griffin HerringNANo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,-,1034,2350,0%,-,-,-,-,-,-,
"Pete HansenNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,1018,2351,0%,-,-,-,-,-,-,
"Nate DohmNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,1066,2352,0%,-,-,-,-,-,-,
"Zach SwansonNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,775,2353,0%,-,-,-,-,-,-,
"Reed GarrettIL60No new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,-,604,2354,0%,-,-,-,-,-,-,
"Ryan LoutosNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,-,1389,2355,0%,-,-,-,-,-,-,
"Brandon ClarkeNA60New Player Note STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,811,2356,0%,-,-,-,-,-,-,
"Sam StuhrNANo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,-,875,2357,0%,-,-,-,-,-,-,
"Luke SinnardNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,869,2358,0%,-,-,-,-,-,-,
"Brock PorterNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,758,2359,0%,-,-,-,-,-,-,
"Brandon NeelyNANo new player Notes BOS - P W, 6-1 vs TB",TB,FA,-,950,2360,0%,-,-,-,-,-,-,
"Tekoah RobyNA60No new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,755,2361,0%,-,-,-,-,-,-,
"Dane AckerNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,801,2362,0%,-,-,-,-,-,-,
"Marc ChurchNA7No new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,1185,2363,0%,-,-,-,-,-,-,
"Josh StephanNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,850,2364,0%,-,-,-,-,-,-,
"Cody BradfordIL60New Player Note TEX - P L, 5-8 @ ATL",@ ATL,FA,-,672,2365,0%,-,-,-,-,-,-,
"Brandon BarrieraNANo new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,-,968,2366,0%,-,-,-,-,-,-,
"Hunter CrantonNANo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,-,1087,2367,0%,-,-,-,-,-,-,
"Cade ObermuellerNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,-,851,2368,0%,-,-,-,-,-,-,
"Jarlin SusanaNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,886,2369,1%,-,-,-,-,-,-,
"Carson MessinaNANo new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,-,900,2370,0%,-,-,-,-,-,-,
"Konnor PilkingtonNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,717,2371,0%,-,-,-,-,-,-,
"Mason MolinaNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,1037,2372,0%,-,-,-,-,-,-,
"L.P. LangevinNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,-,824,2373,0%,-,-,-,-,-,-,
"Chia-Shi ShenNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,-,1115,2374,0%,-,-,-,-,-,-,
"Ethan BagwellNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,956,2375,0%,-,-,-,-,-,-,
"Clark CandiottiNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,841,2376,0%,-,-,-,-,-,-,
"Jackson KowarNA60No new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,-,671,2377,0%,-,-,-,-,-,-,
"Cole HertzlerNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,-,893,2378,0%,-,-,-,-,-,-,
"Cade CrosslandNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,1009,2379,0%,-,-,-,-,-,-,
"Dylan JordanNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,865,2380,0%,-,-,-,-,-,-,
"Tony GonsolinNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,1186,2381,0%,-,-,-,-,-,-,
"Santiago SuarezNANo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,-,829,2382,0%,-,-,-,-,-,-,
"Jared SpencerNANo new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,-,1050,2383,0%,-,-,-,-,-,-,
"Will WatsonNANo new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,-,751,2384,0%,-,-,-,-,-,-,
"Austin GordonNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,1067,2385,0%,-,-,-,-,-,-,
"Herick HernandezNANo new player Notes ATL - P W, 8-5 vs TEX",TEX,FA,-,1110,2386,0%,-,-,-,-,-,-,
