Batters,Opp: 9/25,Highlight,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_H/AB*,Season (total)_R,Season (total)_HR,Season (total)_RBI,Season (total)_SB,Season (total)_OPS,
Shea LangeliersPlayer Note ATH - C  9:40 pm vs HOU,HOU,,Cookie Monster ,103,52,160,76%,110/415,58,23,58,3,0.811,
"Jarren DuranPlayer Note BOS - OF  W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,Cookie Monster ,148,179,161,78%,113/544,66,20,69,21,0.629,
"Kyle StowersNew Player Note MIA - 1B,OF  Bot 1, 0-0 vs ATL",ATL,,Detroit Fastballs,121,160,165,63%,107/447,57,21,65,1,0.79,
"Travis BazzanaPlayer Note CLE - 2B  Top 1, Delay @ KC",@ KC,,Joe Byron,121,199,169,35%,106/436,53,15,57,19,0.736,
"Brandon MarshPlayer Note PHI - OF Bot 3, 0-2 vs TB",TB,,Trust The Process,152,123,170,32%,135/517,71,18,61,11,0.718,
"Brayan RocchioPlayer Note CLE - 2B,SS Top 1, Delay @ KC",@ KC,,Fightin Farmers,151,277,172,18%,131/526,62,13,70,20,0.686,
"JJ BledayPlayer Note CIN - OF Bot 1, 0-2 @ TOR",@ TOR,,Tm Mndlsn nd Mtchn,130,294,174,14%,98/455,59,23,57,6,0.734,
Wyatt LangfordPlayer Note TEX - OF  8:10 pm @ MIN,@ MIN,,The Eds,107,99,175,87%,96/399,64,17,43,15,0.765,
"Ryan O'HearnPlayer Note PIT - 1B,OF Top 2, 0-0 @ DET",@ DET,,Joe Byron,107,301,178,34%,105/396,56,18,74,1,0.776,
"José CaballeroPlayer Note NYY - 2B,3B,SS,OF L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,Rafael Devers,135,382,179,44%,95/408,50,14,51,34,0.658,
Lawrence ButlerNew Player Note ATH - OF  9:40 pm vs HOU,HOU,,The Eds,151,273,180,55%,110/461,63,17,61,10,0.727,
"Trent GrishamIL10New Player Note NYY - OF  L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,Rafael Devers,121,182,181,37%,88/418,67,18,59,9,0.703,
"Eugenio SuárezPlayer Note CIN - 3B Bot 1, 0-2 @ TOR",@ TOR,,NY Bombsquad,123,155,182,60%,89/426,49,25,72,1,0.731,
"Tyler SoderstromIL60No new player Notes ATH - 1B,OF  9:40 pm vs HOU",HOU,,FA,109,62,186,51%,97/396,58,19,56,2,0.81,
"Willi CastroIL10Player Note COL - 1B,2B,3B,SS,OF 7:40 pm @ CWS",@ CWS,,Ranger danger,120,224,187,30%,111/427,65,15,56,10,0.748,
Teoscar HernándezPlayer Note LAD - OF 10:15 pm @ SF,@ SF,,Cookie Monster ,122,96,190,86%,116/432,65,15,63,5,0.758,
"Bo BichettePlayer Note NYM - 3B,SS Bot 2, 1-2 @ WSH",@ WSH,,Cookie Monster ,157,109,193,91%,162/625,75,17,76,2,0.696,
Xander BogaertsPlayer Note SD - SS 9:40 pm vs AZ,AZ,,FA,151,192,196,31%,117/516,66,12,56,22,0.662,
"Austin RileyNew Player Note ATL - 3B Bot 1, 0-0 @ MIA",@ MIA,,Fightin Farmers,156,201,199,73%,124/555,64,19,72,9,0.665,
"Chandler SimpsonPlayer Note TB - OF  Bot 3, 2-0 @ PHI",@ PHI,,Ranger danger,150,234,200,71%,175/568,66,0,38,46,0.692,
Mickey MoniakPlayer Note COL - OF 7:40 pm @ CWS,@ CWS,,Tm Mndlsn nd Mtchn,115,175,201,23%,96/399,49,23,65,1,0.767,
"Nico HoernerNo new player Notes CHC - 2B,SS L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,Tm Mndlsn nd Mtchn,156,118,202,91%,163/618,62,8,72,23,0.671,
"Casey SchmittIL60No new player Notes SF - 1B,2B,3B,OF 10:15 pm vs LAD",LAD,,FA,98,82,203,18%,105/387,47,21,55,9,0.784,
"Alec BohmPlayer Note PHI - 1B,3B Bot 3, 0-2 vs TB",TB,,Rafael Devers,152,311,204,52%,141/557,58,15,88,2,0.708,
"Luis ArraezDTDNew Player Note PHI - 1B,2B Bot 3, 0-2 vs TB",TB,,Rafael Devers,151,328,205,79%,185/596,67,6,64,10,0.764,
Tristan PetersPlayer Note CWS - OF 7:40 pm vs COL,COL,,Joey Spierer's Team,153,504,207,18%,115/428,62,12,56,8,0.785,
"Angel MartínezNew Player Note CLE - 2B,OF Top 1, Delay @ KC",@ KC,,FA,111,240,212,11%,97/376,49,18,58,11,0.766,
Bryce EldridgeIL7Player Note SF - 1B 10:15 pm vs LAD,LAD,,Cash is King,107,200,213,23%,104/386,50,17,57,1,0.825,
"Xavier EdwardsDTDNew Player Note MIA - 2B,SS Bot 1, 0-0 vs ATL",ATL,,Joey Spierer's Team,142,80,217,74%,145/518,61,6,52,21,0.731,
"Mauricio DubónPlayer Note ATL - 2B,3B,SS,OF Bot 1, 0-0 @ MIA",@ MIA,,Rafael Devers,151,380,219,37%,156/565,65,11,71,10,0.716,
