Batters,Opp: 9/25,Highlight,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_H/AB*,Season (total)_R,Season (total)_HR,Season (total)_RBI,Season (total)_SB,Season (total)_OPS,
Andrew FischerNANo new player Notes MIL - 3B 7:40 pm vs STL,STL,,Ranger danger,-,2155,1515,2%,-/-,-,-,-,-,-,
"Cam CannarellaNANo new player Notes MIA - OF Bot 1, 0-0 vs ATL",ATL,,Ranger danger,-,2126,1516,0%,-/-,-,-,-,-,-,
"Caden BodineNANo new player Notes TB - C Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2485,1517,0%,-/-,-,-,-,-,-,
"Josh HammondNANo new player Notes KC - 3B Top 1, Delay vs CLE",CLE,,FA,-,2070,1518,0%,-/-,-,-,-,-,-,
"Brandon ComptonNANo new player Notes MIA - OF Bot 1, 0-0 vs ATL",ATL,,FA,-,2215,1519,0%,-/-,-,-,-,-,-,
Nick BeckerNANo new player Notes SEA - SS 10:10 pm vs LAA,LAA,,FA,-,2432,1520,0%,-/-,-,-,-,-,-,
"Lonnie White Jr.NANo new player Notes PIT - OF Top 2, 0-0 @ DET",@ DET,,FA,-,2398,1521,0%,-/-,-,-,-,-,-,
"Tate SouthiseneNANo new player Notes ATL - SS Bot 1, 0-0 @ MIA",@ MIA,,FA,-,2445,1522,0%,-/-,-,-,-,-,-,
Ryan MitchellNANo new player Notes STL - OF 7:40 pm @ MIL,@ MIL,,FA,-,2278,1523,0%,-/-,-,-,-,-,-,
"Dean MossNANo new player Notes TB - OF Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2012,1524,0%,-/-,-,-,-,-,-,
Kala'i RosarioNANo new player Notes MIN - OF 8:10 pm vs TEX,TEX,,FA,-,2298,1525,0%,-/-,-,-,-,-,-,
"Alex LodiseNANo new player Notes ATL - SS Bot 1, 0-0 @ MIA",@ MIA,,FA,-,2162,1526,0%,-/-,-,-,-,-,-,
Samuel ZavalaNANo new player Notes CWS - OF 7:40 pm vs COL,COL,,FA,-,2329,1527,0%,-/-,-,-,-,-,-,
Brady EbelNANo new player Notes MIL - SS 7:40 pm vs STL,STL,,FA,-,2079,1528,0%,-/-,-,-,-,-,-,
"Kenedy CoronaNANo new player Notes NYY - OF L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,-,2518,1529,0%,-/-,-,-,-,-,-,
"Jordan YostNANo new player Notes DET - SS Top 2, 0-0 vs PIT",PIT,,FA,-,2368,1530,0%,-/-,-,-,-,-,-,
Charles DavalanNANo new player Notes LAD - OF 10:15 pm @ SF,@ SF,,FA,-,2021,1531,0%,-/-,-,-,-,-,-,
"Mason NevilleNANo new player Notes CIN - OF Bot 1, 0-2 @ TOR",@ TOR,,FA,-,2388,1532,0%,-/-,-,-,-,-,-,
"Daniel DickinsonNANo new player Notes MIL - 2B,SS 7:40 pm vs STL",STL,,FA,-,2304,1533,0%,-/-,-,-,-,-,-,
Jaden FauskeNANo new player Notes CWS - OF 7:40 pm vs COL,COL,,FA,-,2221,1534,0%,-/-,-,-,-,-,-,
"Ben CowlesNANo new player Notes CHC - 2B,3B,SS L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,-,2321,1535,0%,-/-,-,-,-,-,-,
"Henry GodboutNANo new player Notes BOS - 2B W, 4-3 vs CHC; Bot 6, 0-0 vs CHC","CHC,CHC",,FA,-,2123,1536,0%,-/-,-,-,-,-,-,
Aeverson ArteagaNANo new player Notes SF - SS 10:15 pm vs LAD,LAD,,FA,-,2024,1537,0%,-/-,-,-,-,-,-,
Kyle LodiseNANo new player Notes CWS - SS 7:40 pm vs COL,COL,,FA,-,2212,1538,0%,-/-,-,-,-,-,-,
Gavin TurleyNANo new player Notes ATH - OF 9:40 pm vs HOU,HOU,,FA,-,2276,1539,0%,-/-,-,-,-,-,-,
"Max WilliamsNANo new player Notes MIA - OF Bot 1, 0-0 vs ATL",ATL,,FA,-,2389,1540,0%,-/-,-,-,-,-,-,
Korbyn DickersonNANo new player Notes SEA - OF 10:10 pm vs LAA,LAA,,FA,-,2119,1541,0%,-/-,-,-,-,-,-,
"Dax KilbyNANo new player Notes NYY - SS L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,-,2224,1542,0%,-/-,-,-,-,-,-,
"Coy JamesNANo new player Notes WSH - SS Bot 2, 2-1 vs NYM",NYM,,FA,-,2471,1543,0%,-/-,-,-,-,-,-,
"Carlos De La CruzNANo new player Notes WSH - OF Bot 2, 2-1 vs NYM",NYM,,FA,-,2403,1544,0%,-/-,-,-,-,-,-,
"Cooper KinneyNANo new player Notes TB - 2B,3B Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2437,1545,0%,-/-,-,-,-,-,-,
"Taitn GrayNANo new player Notes TB - C Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2231,1546,0%,-/-,-,-,-,-,-,
"Kane KepleyNANo new player Notes CHC - OF L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,-,2316,1547,0%,-/-,-,-,-,-,-,
"Josiah HartshornNANo new player Notes CHC - OF L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,-,2423,1548,1%,-/-,-,-,-,-,-,
"Nolan SchubartNANo new player Notes CLE - OF Top 1, Delay @ KC",@ KC,,FA,-,2214,1549,0%,-/-,-,-,-,-,-,
"Easton CarmichaelNANo new player Notes PIT - C Top 2, 0-0 @ DET",@ DET,,FA,-,2077,1550,0%,-/-,-,-,-,-,-,
Aidan WestNANo new player Notes LAD - SS 10:15 pm @ SF,@ SF,,FA,-,2459,1551,0%,-/-,-,-,-,-,-,
"Colin YeamanNANo new player Notes BAL - 3B,SS W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2358,1552,0%,-/-,-,-,-,-,-,
Dasan BrownNANo new player Notes MIL - OF 7:40 pm vs STL,STL,,FA,-,2147,1553,0%,-/-,-,-,-,-,-,
"Nick DumesnilNANo new player Notes DET - OF Top 2, 0-0 vs PIT",PIT,,FA,-,2140,1554,0%,-/-,-,-,-,-,-,
"Cam DevanneyNANo new player Notes PIT - 3B Top 2, 0-0 @ DET",@ DET,,FA,-,2539,1555,0%,-/-,-,-,-,-,-,
Tanner ThachNANo new player Notes COL - 1B 7:40 pm @ CWS,@ CWS,,FA,-,2225,1556,0%,-/-,-,-,-,-,-,
"Gustavo MelendezNANo new player Notes PIT - SS Top 2, 0-0 @ DET",@ DET,,FA,-,2208,1557,0%,-/-,-,-,-,-,-,
"Murf GrayNANo new player Notes PIT - 3B Top 2, 0-0 @ DET",@ DET,,FA,-,2078,1558,0%,-/-,-,-,-,-,-,
Jack GurevitchNANo new player Notes STL - 1B 7:40 pm @ MIL,@ MIL,,FA,-,2455,1559,0%,-/-,-,-,-,-,-,
Ty HarveyNANo new player Notes SD - C 9:40 pm vs AZ,AZ,,FA,-,2349,1560,0%,-/-,-,-,-,-,-,
"Tim PiasentinNANo new player Notes TOR - 3B Bot 1, 2-0 vs CIN",CIN,,FA,-,2007,1561,0%,-/-,-,-,-,-,-,
Landon HodgeNANo new player Notes CWS - C 7:40 pm vs COL,COL,,FA,-,2481,1562,0%,-/-,-,-,-,-,-,
Dairon BlancoNANo new player Notes TEX - OF 8:10 pm @ MIN,@ MIN,,FA,-,1969,1563,0%,-/-,-,-,-,-,-,
"Elian PeñaNANo new player Notes NYM - SS Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2100,1564,0%,-/-,-,-,-,-,-,
"Mitch VoitNANo new player Notes NYM - 2B Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2314,1565,0%,-/-,-,-,-,-,-,
"Cooper FlemmingNANo new player Notes TB - SS Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2412,1566,0%,-/-,-,-,-,-,-,
"Luke HillNANo new player Notes CLE - 3B Top 1, Delay @ KC",@ KC,,FA,-,2310,1567,0%,-/-,-,-,-,-,-,
Josh OwensNANo new player Notes TEX - SS 8:10 pm @ MIN,@ MIN,,FA,-,2254,1568,0%,-/-,-,-,-,-,-,
Ethan FreyNANo new player Notes HOU - OF 9:40 pm @ ATH,@ ATH,,FA,-,2401,1569,0%,-/-,-,-,-,-,-,
Ryan WidemanNANo new player Notes SD - OF 9:40 pm vs AZ,AZ,,FA,-,2102,1570,0%,-/-,-,-,-,-,-,
Ethan HedgesNANo new player Notes COL - 3B 7:40 pm @ CWS,@ CWS,,FA,-,2487,1571,0%,-/-,-,-,-,-,-,
"Antonio JimenezNANo new player Notes NYM - SS Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2256,1572,0%,-/-,-,-,-,-,-,
"Aaron WaltonNANo new player Notes CLE - OF Top 1, Delay @ KC",@ KC,,FA,-,2135,1573,0%,-/-,-,-,-,-,-,
Lorenzo MeolaNANo new player Notes SF - 2B 10:15 pm vs LAD,LAD,,FA,-,2363,1574,0%,-/-,-,-,-,-,-,
"Cal StevensonNANo new player Notes DET - OF Top 2, 0-0 vs PIT",PIT,,FA,-,1991,1575,0%,-/-,-,-,-,-,-,
Cam MaldonadoNANo new player Notes SF - OF 10:15 pm vs LAD,LAD,,FA,-,2160,1576,0%,-/-,-,-,-,-,-,
"Justin TurnerNANo new player Notes CHC - 1B,3B L, 3-4 @ BOS; Top 7, 0-0 @ BOS","@ BOS,@ BOS",,FA,-,1902,1577,0%,-/-,-,-,-,-,-,
"Isaiah JacksonNANo new player Notes BOS - OF W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,2265,1578,0%,-/-,-,-,-,-,-,
"Enmanuel ValdezNANo new player Notes PIT - 1B Top 2, 0-0 @ DET",@ DET,,FA,-,1944,1579,0%,-/-,-,-,-,-,-,
"Michael OlivetoNANo new player Notes DET - C Top 2, 0-0 vs PIT",PIT,,FA,-,2451,1580,0%,-/-,-,-,-,-,-,
Jason HeywardNANo new player Notes SD - OF 9:40 pm vs AZ,AZ,,FA,-,1958,1581,0%,-/-,-,-,-,-,-,
"Warming BernabelNANo new player Notes WSH - 1B Bot 2, 2-1 vs NYM",NYM,,FA,-,1887,1582,0%,-/-,-,-,-,-,-,
"Kade SnellNANo new player Notes CHC - OF L, 3-4 @ BOS; Top 7, 0-0 @ BOS","@ BOS,@ BOS",,FA,-,2067,1583,0%,-/-,-,-,-,-,-,
"Brett WiselyNANo new player Notes ATL - 2B Bot 1, 0-0 @ MIA",@ MIA,,FA,-,1959,1584,0%,-/-,-,-,-,-,-,
Jase MitchellNANo new player Notes HOU - C 9:40 pm @ ATH,@ ATH,,FA,-,2318,1585,0%,-/-,-,-,-,-,-,
"Blaine BullardNANo new player Notes TOR - OF Bot 1, 2-0 vs CIN",CIN,,FA,-,2082,1586,0%,-/-,-,-,-,-,-,
"Jake CookNANo new player Notes TOR - OF Bot 1, 2-0 vs CIN",CIN,,FA,-,2299,1587,0%,-/-,-,-,-,-,-,
Trevor CohenNANo new player Notes SF - OF 10:15 pm vs LAD,LAD,,FA,-,2244,1588,0%,-/-,-,-,-,-,-,
Kaeden KentNANo new player Notes SF - SS 10:15 pm vs LAD,LAD,,FA,-,2043,1589,0%,-/-,-,-,-,-,-,
"James Quinn-IronsNANo new player Notes TB - OF Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2085,1590,0%,-/-,-,-,-,-,-,
"Ryan NodaNAPlayer Note BAL - 1B W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2532,1591,0%,-/-,-,-,-,-,-,
"Pablo AliendoNANo new player Notes CHC - C,1B L, 3-4 @ BOS; Top 7, 0-0 @ BOS","@ BOS,@ BOS",,FA,-,2456,1592,0%,-/-,-,-,-,-,-,
"Matt MervisNANo new player Notes WSH - 1B Bot 2, 2-1 vs NYM",NYM,,FA,-,1915,1593,0%,-/-,-,-,-,-,-,
"Nick MonistereNANo new player Notes HOU - 3B,SS 9:40 pm @ ATH",@ ATH,,FA,-,2218,1594,0%,-/-,-,-,-,-,-,
"Will RobertsonNANo new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2540,1595,0%,-/-,-,-,-,-,-,
"Core JacksonNANo new player Notes NYY - 2B,SS L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,-,2074,1596,0%,-/-,-,-,-,-,-,
Nacho Alvarez Jr.NA60No new player Notes LAA - 3B 10:10 pm @ SEA,@ SEA,,FA,-,1906,1597,0%,-/-,-,-,-,-,-,
Matt KoperniakNANo new player Notes STL - OF 7:40 pm @ MIL,@ MIL,,FA,-,2332,1598,0%,-/-,-,-,-,-,-,
Diego VelasquezNANo new player Notes SF - 2B 10:15 pm vs LAD,LAD,,FA,-,2219,1599,0%,-/-,-,-,-,-,-,
Gavin ConticelloNANo new player Notes AZ - OF 9:40 pm @ SD,@ SD,,FA,-,2096,1600,0%,-/-,-,-,-,-,-,
"Jose IglesiasNANo new player Notes SD - 2B,3B,SS 9:40 pm vs AZ",AZ,,FA,-,1844,1601,0%,-/-,-,-,-,-,-,
Jesus LopezNANo new player Notes TEX - C 8:10 pm @ MIN,@ MIN,,FA,-,2044,1602,0%,-/-,-,-,-,-,-,
"Cristofer TorinNANo new player Notes AZ - 2B,SS 9:40 pm @ SD",@ SD,,FA,-,2283,1603,0%,-/-,-,-,-,-,-,
"Leo BalcazarNANo new player Notes CIN - 2B,SS Bot 1, 0-2 @ TOR",@ TOR,,FA,-,2022,1604,0%,-/-,-,-,-,-,-,
"Rhylan ThomasNANo new player Notes TOR - OF Bot 1, 2-0 vs CIN",CIN,,FA,-,1985,1605,0%,-/-,-,-,-,-,-,
"Jesus BaezNANo new player Notes STL - 2B,3B,SS 7:40 pm @ MIL",@ MIL,,FA,-,2482,1606,0%,-/-,-,-,-,-,-,
"Rosman VerdugoNANo new player Notes SD - 2B,3B 9:40 pm vs AZ",AZ,,FA,-,2509,1607,0%,-/-,-,-,-,-,-,
"Allan CastroNANo new player Notes BOS - OF W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,2320,1608,0%,-/-,-,-,-,-,-,
Carlos VirahondaNANo new player Notes AZ - C 9:40 pm @ SD,@ SD,,FA,-,2492,1609,0%,-/-,-,-,-,-,-,
"Enyervert PerezNANo new player Notes AZ - 1B,3B 9:40 pm @ SD",@ SD,,FA,-,2031,1610,0%,-/-,-,-,-,-,-,
"Nate GeorgeNANo new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2478,1611,0%,-/-,-,-,-,-,-,
"Jorge RodriguezNANo new player Notes BOS - C W, 4-3 vs CHC; Top 7, 0-0 vs CHC","CHC,CHC",,FA,-,2300,1612,0%,-/-,-,-,-,-,-,
"Enddy AzocarNANo new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2118,1613,0%,-/-,-,-,-,-,-,
"Juan TomasNANo new player Notes CHC - SS L, 3-4 @ BOS; Top 7, 0-0 @ BOS","@ BOS,@ BOS",,FA,-,2354,1614,0%,-/-,-,-,-,-,-,
"Liberts AponteNANo new player Notes CIN - SS Bot 1, 0-2 @ TOR",@ TOR,,FA,-,2207,1615,0%,-/-,-,-,-,-,-,
Marcelo AlcalaNANo new player Notes CWS - OF 7:40 pm vs COL,COL,,FA,-,2264,1616,0%,-/-,-,-,-,-,-,
"Cris RodriguezNANo new player Notes DET - OF Top 2, 0-0 vs PIT",PIT,,FA,-,2411,1617,0%,-/-,-,-,-,-,-,
"Jude WarwickNANo new player Notes DET - 2B,SS Top 2, 0-0 vs PIT",PIT,,FA,-,2117,1618,0%,-/-,-,-,-,-,-,
Kevin AlvarezNANo new player Notes HOU - OF 9:40 pm @ ATH,@ ATH,,FA,-,2447,1619,0%,-/-,-,-,-,-,-,
"Ramcell MedinaNANo new player Notes KC - SS Top 1, Delay vs CLE",CLE,,FA,-,2323,1620,0%,-/-,-,-,-,-,-,
"Warren CalcañoNANo new player Notes KC - SS Top 1, Delay vs CLE",CLE,,FA,-,2275,1621,0%,-/-,-,-,-,-,-,
"Moises MarchánNANo new player Notes KC - C Top 1, Delay vs CLE",CLE,,FA,-,2262,1622,0%,-/-,-,-,-,-,-,
Gabriel DavalilloNANo new player Notes LAA - C 10:10 pm @ SEA,@ SEA,,FA,-,2045,1623,0%,-/-,-,-,-,-,-,
"Andrew SalasNANo new player Notes MIA - 2B,SS,OF Bot 1, 0-0 vs ATL",ATL,,FA,-,2281,1624,0%,-/-,-,-,-,-,-,
Marlon QuinteroNANo new player Notes LAA - C 10:10 pm @ SEA,@ SEA,,FA,-,2242,1625,0%,-/-,-,-,-,-,-,
Brailyn AntunezNANo new player Notes MIL - OF 7:40 pm vs STL,STL,,FA,-,2057,1626,0%,-/-,-,-,-,-,-,
"Stiven MarinezNANo new player Notes NYY - SS L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,-,2343,1627,0%,-/-,-,-,-,-,-,
"Deivid CoronilNANo new player Notes SD - 3B,SS 9:40 pm vs AZ",AZ,,FA,-,2109,1628,0%,-/-,-,-,-,-,-,
"Darell MorelNANo new player Notes PIT - SS Top 2, 0-0 @ DET",@ DET,,FA,-,2252,1629,0%,-/-,-,-,-,-,-,
"Luke AdamsNANo new player Notes MIL - 1B,3B 7:40 pm vs STL",STL,,FA,-,2130,1630,0%,-/-,-,-,-,-,-,
"Jhoan De La CruzNANo new player Notes SD - 2B,SS 9:40 pm vs AZ",AZ,,FA,-,2156,1631,0%,-/-,-,-,-,-,-,
Truitt MadonnaNANo new player Notes SD - C 9:40 pm vs AZ,AZ,,FA,-,2430,1632,0%,-/-,-,-,-,-,-,
Carlos GutierrezNANo new player Notes SF - OF 10:15 pm vs LAD,LAD,,FA,-,2291,1633,0%,-/-,-,-,-,-,-,
"Kendry MartinezNANo new player Notes SEA - 2B,SS 10:10 pm vs LAA",LAA,,FA,-,2240,1634,0%,-/-,-,-,-,-,-,
Yorger BautistaNANo new player Notes SEA - OF 10:10 pm vs LAA,LAA,,FA,-,2209,1635,0%,-/-,-,-,-,-,-,
Royelny StropNANo new player Notes STL - OF 7:40 pm @ MIL,@ MIL,,FA,-,2429,1636,0%,-/-,-,-,-,-,-,
Kenly HunterNANo new player Notes STL - OF 7:40 pm @ MIL,@ MIL,,FA,-,2381,1637,0%,-/-,-,-,-,-,-,
Anthony RendonIL60No new player Notes LAA - 3B 10:10 pm @ SEA,@ SEA,,FA,-,1996,1638,0%,-/-,-,-,-,-,-,
"Elorky RodriguezNANo new player Notes TEX - 2B,OF 8:10 pm @ MIN",@ MIN,,FA,-,2493,1639,0%,-/-,-,-,-,-,-,
"Juan SanchezNANo new player Notes TOR - 3B,SS Bot 1, 2-0 vs CIN",CIN,,FA,-,2163,1640,0%,-/-,-,-,-,-,-,
"Jurickson ProfarSUSPNo new player Notes ATL - OF Bot 1, 0-0 @ MIA",@ MIA,,FA,-,1765,1641,3%,-/-,-,-,-,-,-,
"Daniel HernandezNANo new player Notes WSH - C Bot 2, 2-1 vs NYM",NYM,,FA,-,2325,1642,0%,-/-,-,-,-,-,-,
"Brayan CortesiaNANo new player Notes WSH - SS Bot 2, 2-1 vs NYM",NYM,,FA,-,2066,1643,0%,-/-,-,-,-,-,-,
"Sir Jamison JonesNANo new player Notes WSH - C Bot 2, 2-1 vs NYM",NYM,,FA,-,2464,1644,0%,-/-,-,-,-,-,-,
"Marconi GermanNANo new player Notes WSH - 2B,SS Bot 2, 2-1 vs NYM",NYM,,FA,-,2460,1645,0%,-/-,-,-,-,-,-,
"Creed WillemsNANo new player Notes BAL - C,1B W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2161,1646,0%,-/-,-,-,-,-,-,
"Rafael Ramirez Jr.NANo new player Notes WSH - 2B Bot 2, 2-1 vs NYM",NYM,,FA,-,2227,1647,0%,-/-,-,-,-,-,-,
Darwing OzunaNANo new player Notes ATH - OF 9:40 pm vs HOU,HOU,,FA,-,2462,1648,0%,-/-,-,-,-,-,-,
"Harold RivasNANo new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2364,1649,0%,-/-,-,-,-,-,-,
Raudi RodriguezNANo new player Notes LAA - OF 10:10 pm @ SEA,@ SEA,,FA,-,2384,1650,0%,-/-,-,-,-,-,-,
Donovan SolanoNANo new player Notes TEX - 1B 8:10 pm @ MIN,@ MIN,,FA,-,1893,1651,0%,-/-,-,-,-,-,-,
"Reed TrimbleNA7No new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2391,1652,0%,-/-,-,-,-,-,-,
Austin GauthierNANo new player Notes LAD - 2B 10:15 pm @ SF,@ SF,,FA,-,2131,1653,0%,-/-,-,-,-,-,-,
"Enmanuel BonillaNANo new player Notes TOR - OF Bot 1, 2-0 vs CIN",CIN,,FA,-,2285,1654,0%,-/-,-,-,-,-,-,
"Gregory BarriosNANo new player Notes TB - SS Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2167,1655,0%,-/-,-,-,-,-,-,
"Jadher AreinamoNANo new player Notes TB - 2B,3B,SS Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2474,1656,0%,-/-,-,-,-,-,-,
"Jace AvinaNANo new player Notes NYY - OF L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,-,2469,1657,0%,-/-,-,-,-,-,-,
"Omar AlfonzoNANo new player Notes NYY - C,1B L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,-,2089,1658,0%,-/-,-,-,-,-,-,
Wilmer FloresNANo new player Notes SF - 1B 10:15 pm vs LAD,LAD,,FA,-,1774,1659,0%,-/-,-,-,-,-,-,
"Boston BaroNANo new player Notes NYM - 2B,3B,SS Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2355,1660,0%,-/-,-,-,-,-,-,
"Sammy StafuraNANo new player Notes NYM - 2B,SS Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2379,1661,0%,-/-,-,-,-,-,-,
Colton LedbetterNANo new player Notes STL - OF 7:40 pm @ MIL,@ MIL,,FA,-,2503,1662,0%,-/-,-,-,-,-,-,
"Spencer NivensNANo new player Notes KC - OF Top 1, Delay vs CLE",CLE,,FA,-,2395,1663,0%,-/-,-,-,-,-,-,
"Christian BethancourtNANo new player Notes PIT - C Top 2, 0-0 @ DET",@ DET,,FA,-,1995,1664,0%,-/-,-,-,-,-,-,
"Max AndersonNANo new player Notes DET - 2B,3B Top 2, 0-0 vs PIT",PIT,,FA,-,2002,1665,0%,-/-,-,-,-,-,-,
"Matthew EtzelNANo new player Notes MIA - OF Bot 1, 0-0 vs ATL",ATL,,FA,-,2137,1666,0%,-/-,-,-,-,-,-,
Mike BoeveNANo new player Notes MIL - 1B 7:40 pm vs STL,STL,,FA,-,2483,1667,0%,-/-,-,-,-,-,-,
Roc RiggioNANo new player Notes COL - 2B 7:40 pm @ CWS,@ CWS,,FA,-,2091,1668,0%,-/-,-,-,-,-,-,
Kris BryantIL60No new player Notes COL - Util 7:40 pm @ CWS,@ CWS,,FA,-,2530,1669,0%,-/-,-,-,-,-,-,
"Jesse WinkerNANo new player Notes NYM - OF Bot 2, 1-2 @ WSH",@ WSH,,FA,-,1931,1670,0%,-/-,-,-,-,-,-,
"Mac HorvathNANo new player Notes TB - 2B,3B,OF Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2376,1671,0%,-/-,-,-,-,-,-,
Tom MurphyNANo new player Notes SF - C 10:15 pm vs LAD,LAD,,FA,-,2513,1672,0%,-/-,-,-,-,-,-,
"Ethan O'DonnellNANo new player Notes MIA - OF Bot 1, 0-0 vs ATL",ATL,,FA,-,2380,1673,0%,-/-,-,-,-,-,-,
"Parks HarberNANo new player Notes SF - 1B,3B 10:15 pm vs LAD",LAD,,FA,-,2499,1674,0%,-/-,-,-,-,-,-,
"Alfonsin RosarioNANo new player Notes CLE - OF Top 1, Delay @ KC",@ KC,,FA,-,2348,1675,0%,-/-,-,-,-,-,-,
"Tyler AustinIL60No new player Notes CHC - 1B L, 3-4 @ BOS; Top 7, 0-0 @ BOS","@ BOS,@ BOS",,FA,-,2064,1676,0%,-/-,-,-,-,-,-,
Nehomar Ochoa Jr.NANo new player Notes HOU - OF 9:40 pm @ ATH,@ ATH,,FA,-,2313,1677,0%,-/-,-,-,-,-,-,
"Kemp AldermanNANo new player Notes MIA - OF Bot 1, 0-0 vs ATL",ATL,,FA,-,2426,1678,0%,-/-,-,-,-,-,-,
Zach LevensonNANo new player Notes STL - OF 7:40 pm @ MIL,@ MIL,,FA,-,2101,1679,0%,-/-,-,-,-,-,-,
"Kehden HettigerNANo new player Notes PHI - C,1B Bot 3, 0-2 vs TB",TB,,FA,-,2169,1680,0%,-/-,-,-,-,-,-,
Dylan CampbellNANo new player Notes CWS - OF 7:40 pm vs COL,COL,,FA,-,2199,1681,0%,-/-,-,-,-,-,-,
"TJayy WaltonNANo new player Notes PHI - OF Bot 3, 0-2 vs TB",TB,,FA,-,2217,1682,0%,-/-,-,-,-,-,-,
"Tre' MorganNANo new player Notes TB - 1B,OF Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2505,1683,0%,-/-,-,-,-,-,-,
"Carson RuckerNANo new player Notes DET - 3B Top 2, 0-0 vs PIT",PIT,,FA,-,2361,1684,0%,-/-,-,-,-,-,-,
"Carson RoccaforteNANo new player Notes KC - OF Top 1, Delay vs CLE",CLE,,FA,-,2390,1685,0%,-/-,-,-,-,-,-,
Jared DickeyNANo new player Notes ATH - OF 9:40 pm vs HOU,HOU,,FA,-,2420,1686,0%,-/-,-,-,-,-,-,
"Aidan SmithNANo new player Notes NYM - OF Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2306,1687,0%,-/-,-,-,-,-,-,
George WolkowNANo new player Notes CWS - OF 7:40 pm vs COL,COL,,FA,-,2446,1688,0%,-/-,-,-,-,-,-,
"Jace BohrofenNANo new player Notes TOR - OF Bot 1, 2-0 vs CIN",CIN,,FA,-,2013,1689,0%,-/-,-,-,-,-,-,
Kendall GeorgeNANo new player Notes LAD - OF 10:15 pm @ SF,@ SF,,FA,-,2014,1690,0%,-/-,-,-,-,-,-,
Tai PeeteNANo new player Notes STL - OF 7:40 pm @ MIL,@ MIL,,FA,-,2103,1691,0%,-/-,-,-,-,-,-,
"Ralphy VelazquezNANo new player Notes CLE - 1B Top 1, Delay @ KC",@ KC,,Fightin Farmers,-,2418,1692,3%,-/-,-,-,-,-,-,
"Dillon HeadNANo new player Notes MIA - OF Bot 1, 0-0 vs ATL",ATL,,FA,-,2500,1693,0%,-/-,-,-,-,-,-,
"Blake MitchellNANo new player Notes KC - C Top 1, Delay vs CLE",CLE,,FA,-,2472,1694,0%,-/-,-,-,-,-,-,
"Aidan MillerNANo new player Notes PHI - SS Bot 3, 0-2 vs TB",TB,,FA,-,2178,1695,2%,-/-,-,-,-,-,-,
Arjun NimmalaNANo new player Notes LAA - SS 10:10 pm @ SEA,@ SEA,,FA,-,2180,1696,1%,-/-,-,-,-,-,-,
"Colin HouckNANo new player Notes NYM - 3B,SS Bot 2, 1-2 @ WSH",@ WSH,,FA,-,2357,1697,0%,-/-,-,-,-,-,-,
"Enrique Bradfield Jr.NANo new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2438,1698,0%,-/-,-,-,-,-,-,
Brock WilkenNANo new player Notes MIL - 3B 7:40 pm vs STL,STL,,FA,-,2326,1699,0%,-/-,-,-,-,-,-,
